FrameNumber,FrametimeMs,ImageIndex,PresentMode
1,0.116301,1,2
2,0.05631,0,2
3,4.10689,2,2
4,4.23613,1,2
5,4.81965,0,2
6,3.38851,2,2
7,4.18533,1,2
8,4.17429,0,2
9,4.13262,2,2
10,4.15833,1,2
11,4.19442,0,2
12,4.18138,2,2
13,4.1468,1,2
14,4.17227,0,2
15,4.173,2,2
16,4.23492,1,2
17,4.10174,0,2
18,4.09366,2,2
19,4.25617,1,2
20,4.23363,0,2
21,4.05522,2,2
22,4.18142,1,2
23,4.21865,0,2
24,4.2128,2,2
25,4.08028,1,2
26,4.10453,0,2
27,4.2372,2,2
28,4.22332,1,2
29,4.08564,0,2
30,4.19049,2,2
31,4.17054,1,2
32,4.24214,0,2
33,4.04006,2,2
34,4.20293,1,2
35,4.2608,0,2
36,4.09013,2,2
37,4.11299,1,2
38,4.1945,0,2
39,4.18013,2,2
40,4.07292,1,2
41,4.20193,0,2
42,4.2867,2,2
43,4.10405,1,2
44,4.10885,0,2
45,4.14058,2,2
46,4.16533,1,2
47,4.16476,0,2
48,4.17325,2,2
49,4.22472,1,2
50,4.15744,0,2
51,4.119,2,2
52,4.18708,1,2
53,4.19115,0,2
54,4.19571,2,2
55,4.09354,1,2
56,4.15299,0,2
57,4.17149,2,2
58,4.16006,1,2
59,4.25083,0,2
60,4.1747,2,2
61,4.09186,1,2
62,4.15548,0,2
63,4.19323,2,2
64,4.16932,1,2
65,4.14336,0,2
66,4.28799,2,2
67,4.0952,1,2
68,4.16932,0,2
69,4.13185,2,2
70,4.13579,1,2
71,4.16916,0,2
72,4.24501,2,2
73,4.12762,1,2
74,4.12607,0,2
75,4.17718,2,2
76,4.17387,1,2
77,4.1666,0,2
78,4.16832,2,2
79,4.18791,1,2
80,4.16145,0,2
81,4.15483,2,2
82,4.17471,1,2
83,4.21356,0,2
84,4.25797,2,2
85,4.80213,1,2
86,3.43985,0,2
87,4.16233,2,2
88,4.1734,1,2
89,4.14299,0,2
90,4.18847,2,2
91,4.27605,1,2
92,4.17114,0,2
93,4.42322,2,2
94,3.80966,1,2
95,4.20372,0,2
96,4.16696,2,2
97,4.15453,1,2
98,4.1239,0,2
99,4.18527,2,2
100,4.13279,1,2
101,4.20001,0,2
102,4.16625,2,2
103,4.13087,1,2
104,4.15149,0,2
105,4.18296,2,2
106,4.1981,1,2
107,4.18314,0,2
108,4.17231,2,2
109,4.16658,1,2
110,4.11851,0,2
111,4.14808,2,2
112,4.19628,1,2
113,4.13704,0,2
114,4.24163,2,2
115,4.14542,1,2
116,4.10568,0,2
117,4.16422,2,2
118,4.24436,1,2
119,4.19627,0,2
120,4.20028,2,2
121,4.04584,1,2
122,4.13638,0,2
123,4.18128,2,2
124,4.23276,1,2
125,4.22139,0,2
126,4.03818,2,2
127,4.18479,1,2
128,4.25157,0,2
129,4.06721,2,2
130,4.1515,1,2
131,4.16795,0,2
132,4.27585,2,2
133,4.16606,1,2
134,4.15772,0,2
135,4.08012,2,2
136,4.16618,1,2
137,4.27603,0,2
138,4.05447,2,2
139,4.17303,1,2
140,4.26081,0,2
141,4.05753,2,2
142,4.17079,1,2
143,4.20133,0,2
144,4.24579,2,2
145,4.14987,1,2
146,4.06659,0,2
147,4.25785,2,2
148,4.08536,1,2
149,4.28186,0,2
150,4.15491,2,2
151,4.16117,1,2
152,4.04481,0,2
153,4.18849,2,2
154,4.25982,1,2
155,4.17739,0,2
156,4.07839,2,2
157,4.25573,1,2
158,4.04882,0,2
159,4.19414,2,2
160,4.22599,1,2
161,4.08878,0,2
162,4.26232,2,2
163,4.08117,1,2
164,4.16733,0,2
165,4.14484,2,2
166,4.15577,1,2
167,4.17166,0,2
168,4.23123,2,2
169,4.12537,1,2
170,4.25108,0,2
171,4.08948,2,2
172,4.18989,1,2
173,4.15839,0,2
174,4.1635,2,2
175,4.16231,1,2
176,4.16757,0,2
177,4.16523,2,2
178,4.1547,1,2
179,4.1692,0,2
180,4.31917,2,2
181,4.03626,1,2
182,4.15916,0,2
183,4.15211,2,2
184,4.24222,1,2
185,4.11165,0,2
186,4.27345,2,2
187,4.05516,1,2
188,4.16172,0,2
189,4.14662,2,2
190,4.17056,1,2
191,4.28182,0,2
192,4.18787,2,2
193,4.1495,1,2
194,4.06153,0,2
195,4.15354,2,2
196,4.26412,1,2
197,4.1234,0,2
198,4.13702,2,2
199,4.14873,1,2
200,4.17373,0,2
201,4.15502,2,2
202,4.1711,1,2
203,4.19508,0,2
204,4.17417,2,2
205,4.13278,1,2
206,4.17489,0,2
207,4.15525,2,2
208,4.2468,1,2
209,4.20332,0,2
210,4.18063,2,2
211,4.03692,1,2
212,4.18308,0,2
213,4.15332,2,2
214,4.22507,1,2
215,4.11043,0,2
216,4.2715,2,2
217,4.16131,1,2
218,4.05252,0,2
219,4.18589,2,2
220,4.17077,1,2
221,4.26723,0,2
222,4.06732,2,2
223,4.1719,1,2
224,4.15957,0,2
225,4.14327,2,2
226,4.23696,1,2
227,4.23138,0,2
228,4.06096,2,2
229,4.27422,1,2
230,4.14554,0,2
231,4.12965,2,2
232,4.17159,1,2
233,4.11073,0,2
234,4.15378,2,2
235,4.30367,1,2
236,4.02577,0,2
237,4.17064,2,2
238,4.22284,1,2
239,4.2204,0,2
240,4.18618,2,2
241,4.14911,1,2
242,4.146,0,2
243,4.08742,2,2
244,4.21406,1,2
245,4.21635,0,2
246,4.17478,2,2
247,4.17665,1,2
248,4.0567,0,2
249,4.1898,2,2
250,4.20611,1,2
251,4.20423,0,2
252,4.18216,2,2
253,4.15506,1,2
254,4.05191,0,2
255,4.18282,2,2
256,4.2116,1,2
257,4.22959,0,2
258,4.05466,2,2
259,4.29429,1,2
260,4.03954,0,2
261,4.13712,2,2
262,4.18992,1,2
263,4.16544,0,2
264,4.2776,2,2
265,4.04768,1,2
266,4.29027,0,2
267,4.098,2,2
268,4.18499,1,2
269,4.15394,0,2
270,4.17261,2,2
271,4.13149,1,2
272,4.28982,0,2
273,4.08212,2,2
274,4.14161,1,2
275,5.79019,0,2
276,2.51152,2,2
277,4.3018,1,2
278,4.16383,0,2
279,4.08368,2,2
280,4.20077,1,2
281,4.10996,0,2
282,4.2174,2,2
283,4.12108,1,2
284,4.21387,0,2
285,4.09452,2,2
286,4.24452,1,2
287,4.17932,0,2
288,4.1609,2,2
289,4.19551,1,2
290,4.13105,0,2
291,4.0968,2,2
292,4.20586,1,2
293,4.19496,0,2
294,4.17392,2,2
295,4.16326,1,2
296,4.16275,0,2
297,4.14269,2,2
298,4.19086,1,2
299,4.15772,0,2
300,4.16265,2,2
301,4.13296,1,2
302,4.16217,0,2
303,4.16992,2,2
304,4.16553,1,2
305,4.22161,0,2
306,4.14524,2,2
307,4.13408,1,2
308,4.17409,0,2
309,4.13909,2,2
310,4.21832,1,2
311,4.12585,0,2
312,4.2453,2,2
313,4.09057,1,2
314,4.22464,0,2
315,4.1046,2,2
316,4.21838,1,2
317,4.13438,0,2
318,4.15192,2,2
319,4.16843,1,2
320,4.16802,0,2
321,4.16947,2,2
322,4.18549,1,2
323,4.1921,0,2
324,4.13056,2,2
325,4.22988,1,2
326,4.0841,0,2
327,4.17369,2,2
328,4.20826,1,2
329,4.19369,0,2
330,4.09907,2,2
331,4.17413,1,2
332,4.15649,0,2
333,4.17474,2,2
334,4.19782,1,2
335,4.1976,0,2
336,4.16702,2,2
337,4.15009,1,2
338,4.1149,0,2
339,4.18464,2,2
340,4.18811,1,2
341,4.20434,0,2
342,4.16056,2,2
343,4.09721,1,2
344,4.17159,0,2
345,4.16355,2,2
346,4.21651,1,2
347,4.19468,0,2
348,4.17311,2,2
349,4.09397,1,2
350,4.23056,0,2
351,4.11978,2,2
352,4.18286,1,2
353,4.19231,0,2
354,4.17746,2,2
355,4.09187,1,2
356,4.20312,0,2
357,4.12668,2,2
358,4.15731,1,2
